Changes_20181109_1159_-Gen5_Kombi-03_Prod_Dev-20_Specifications-10_Customer_Requirements-Consolidated-40_Requirements_-_Functions_3.1_sv,AccStateCurrentConsolidation_sv,OEM_ID_sv,Comparison with '/Gen5_Kombi/03_Prod_Dev/20_Specifications/10_Customer_Requirements/Consolidated/40_Requirements_-_Functions' version: 3.1,FSM,English_sv,Function_sv
unchanged,CHK,40_2654,"Template:

CR number:			CR 1234
CR titel:			XXX
CR version:			1.0
CR state:			Erstellung, Anfrage, Korrektur, Eingearbeitet
Cluster variants:		All, C-H, RR, ...
HUD variants:			High3
CR due date:			01.02.2022
Modules (affected):		40, 41, 
Baseline for this CR:		20.01.2022
CR requester:			Max Mustermann, EI-99
CR date of integration in specification:	31.12.2022",non-FS,"<<< TRANSLATION MUST BE UPDATED >>>Template:

CR number: CR 1234
CR title: XXX
CR version: 1.0
CR state: Creation, request, fix, trained
Combination variation: KI01, KI02, KI_All,…
HUD variation: High3
CR debit date: 01.02.2020
Modules (affected): 30, 50, 60
Baseline for the CR: 20.01.11
CR Requester: Max pattern man, EI-99
CR date of the integration: 31.12.2015",TBD
unchanged,NRQ,40_140,14.2 HUD SW Requirements,non-FS,<<< TRANSLATION MUST BE UPDATED >>>HUD SW-request,TBD
unchanged,NRQ,40_7,14.3 Requirements – functionality of instrument cluster,non-FS,<<< TRANSLATION MUST BE UPDATED >>>Request - functionality combination instrument,TBD
unchanged,CHK,40_2,"The required functions have to be extracted from ""Funktionsliste_KI_2021"".",non-FS,<<< TRANSLATION MUST BE UPDATED >>>The functions which can be represented are to be inferred from the reference “Funktionsliste_KI_2021”.,TBD
modified,CHK,40_3,"The function library modul, provided by BMW, has to be used for the realisation of the functions.
function library modul Außentemperatur [FuBi A-Temp]
function library modul Bordcomputer [FuBi BC]
function library modul Condition Based Service [FuBi CBS]
function library modul Check Control [FuBi Check Control]
function library modul Dimmung [FuBi DIMM_RIP]
function library modul Error Manager - Check Control Interface [FuBi ECI]
function library modul Error Manager [FuBi ERM]
function library modul Gang- und Schaltpunktanzeige [FuBi Gear]
function library modul Infotainment [FuBi I-FuBi]
function library modul Kontrollleuchten und Blinker [Fubi KLB]
function library modul Längsdynamik-Management [FuBi LDM]
function library modul Odometer [FuBi ODO]
function library modul Redundante Datenablage [FuBi RDA]
function library modul Tank [FuBi TNK]
function library modul Unit Conversion [Fubi UCV]
function library modul Betriebsspannungsmonitor [FuBi VMON]
function library modul Time [FuBi Time] (geplant)
function library modul Sound (Option geplant)",non-FS,"<<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>>For the conversion of the functions the following function libraries are to be used, which are placed from BMW to the order:
Function library module outside temperature [FuBi A-temp]
Function library module on board computer [FuBi BC]
Function library module condition Based service [FuBi CBS]
Function library module CHECK control [FuBi CHECK control]
Function library module Dimmung [FuBi DIMM_RIP]
Function library module error manager - CHECK control INTERFACE [FuBi ECI]
Function library module error manager [FuBi ERM]
Function library module gear and switching point display [FuBi Gear]
Function library module control lighting fixtures and turn signal [Fubi KLB]
Function library module longitudinal dynamic management [FuBi LDM]
Function library module Odometer [FuBi ODO]
Function library module redundant data bin [FuBi RDA]
Function library module tank [FuBi TNK]
Function library module unit Conversion [Fubi UCV]
Function library module line voltage monitor [FuBi VMON]
Function library module time [FuBi time] (planned)
Function library module sound (option planned)",SW
unchanged,CON,40_9,Die Anforderungen an die elektronische Fahrzeugprüfung gemäß [LH 10326981] müssen erfüllt werden.,non-FS,The request of the electronic vehicle check in accordance with [LH 10326981] must be fulfilled.,SW
unchanged,CON,40_10,Die Anforderungen an das Vehicle Configuration Management gemäß [LH 10000908] müssen erfüllt werden.,non-FS,The request of the Vehicle Configuration in accordance with management [LH 10000908] must be fulfilled.,SW
deleted,NRQ,40_8,14.3.1 Anforderungen - Funktionalität I-Kombi,non-FS,Request - functionality I-combination,TBD
unchanged,NRQ,40_17,14.4 Defintions,non-FS,<<< TRANSLATION MUST BE UPDATED >>>Definitions,TBD
unchanged,NRQ,40_31,14.4.1 Button presses,non-FS,<<< TRANSLATION MUST BE UPDATED >>>Grope-move,TBD
unchanged,NRQ,40_7467,Target marker cross-reference,non-FS,<<< TRANSLATION MUST BE UPDATED >>>Cross reference target marker,TBD
unchanged,CHK,40_6160,"Hier werden zum Einen die Tastendrücke abhängig der Druckdauer definiert, ohne jedoch eine Aussage darüber zu liefern.
Zum Anderen werden in diesem Kapitel die funktionsübergreifenden Auswirkungen der Tastendrücke definiert. 
Die Auswirkung der jeweiligen Tastendrücke in den jeweiligen Funktionen ist in den Funktionen beschrieben. 
Die gegenseitige Beeinflussung der verschieden Funktionen in Bezug auf ihre Anzeigefläge ist in der Prioritätensteuerung beschrieben.

First:
This section defines the different ""basic button presses definitions"" depending on the duration of pressing. 
The effect of the respective button presses in the relevant is described for each function. 

Second:
This section defines the cross-functional effects of the button presses.  
The mutual effect of the different functions in relation to their display position is described in the priority control.",non-FS,"<<< TRANSLATION MUST BE UPDATED >>>Here on the one hand grope-move dependently the printing duration defined, without supplying however a predicate about it.
On the other hand in this section the function-spreading impacts grope-move defined. 
The impact of the respective grope-moves in the respective functions is descriptive in the functions. 
The opposite-acting influence that differently functions regarding their Anzeigefläge is descriptive in the priority share control.",TBD
unchanged,NRQ,40_6193,14.4.1.1 Input data,non-FS,<<< TRANSLATION MUST BE UPDATED >>>Input data,TBD
unchanged,NRQ,40_6196,14.4.1.1.1 CAF / manufacturer data,non-FS,<<< TRANSLATION MUST BE UPDATED >>>CAF/manufacturer data,TBD
unchanged,CON,40_6216,"For the button press function, no coding values are required.",non-FS,<<< TRANSLATION MUST BE UPDATED >>>For the palpation moving function no coding values are required.,TBD
unchanged,NRQ,40_6197,14.4.1.1.2 Bus,non-FS,Bus,TBD
unchanged,CON,40_6188,"Bedienung Lenkstockstaster (BEDIENUNG_LENKSTOCK, 1EEh)",non-FS,"Operation guidance stagnation aster (BEDIENUNG_LENKSTOCK, 1EEh)",TBD
unchanged,CHK,40_6186,"Bedienung_Lenkstocktaster  
	OP_COLS, 		Init- und substitute value seeID 55_361",non-FS,"<<< TRANSLATION MUST BE UPDATED >>>Bedienung_Lenkstocktaster  
To OP_COLS, INIT and replacement value see ID 55_361",TBD
unchanged,CON,40_6215,"The monitoring parameters for this message are defined in the “Monitoring functions” section, see ID 55_967.",non-FS,"<<< TRANSLATION MUST BE UPDATED >>>The inspection parameters for this message are defined in the section “inspections”, see ID 55_967.",TBD
unchanged,CON,40_6214,Die Botschaft wird auf Ausfall überwacht und ein entsprechender Timeout-DTC wird eingetragen.,non-FS,The message is monitored on failure and a suitable time-out DTC is entered.,TBD
unchanged,CON,40_11667,Die in dieser Funktion verwendeten Signale werden auf ihre funktionsspezifischen Wertebereiche geprüft und ein entsprechender APPL-DTC wird eingetragen. ,non-FS,The signals used in this function are checked for their function specific scopes and a suitable APPL DTC is entered.,TBD
unchanged,CON,40_19252,"Zusätzlich zu der Prüfung des Wertebereichs, wird auf einen permantenten Tastendruck geprüft siehe 51_19521.",non-FS,"Additionally to the check of the scope, for a permantenten keystroke checked see 51_19521.",TBD
unchanged,NRQ,40_6194,14.4.1.2 Ausgangsdaten,non-FS,Outlet data,TBD
unchanged,CON,40_6198,"Die Tastendrücke-Funktion gibt ihre generierten Trigger weiter an:


",non-FS,The palpation moving function continues to indicate its generated triggers:,TBD
unchanged,CON,40_19066,- intern im Kombi an weitere Funktionen,non-FS,- internally in the combination to further functions,TBD
unchanged,CON,40_19067,- an die Diagnoseschnittstelle,non-FS,- to the diagnose interface,TBD
unchanged,CON,40_19068,"- externe Schnittstelle, siehe 51_19749",non-FS,"- external interface, see 51_19749",TBD
unchanged,NRQ,40_6195,14.4.1.3 Funktionsbeschreibung,non-FS,Function description,TBD
unchanged,CON,40_6187,"Die Tastendrücke werden anhand des Signals OP_COLS in Bedienung Lenkstockstaster (BEDIENUNG_LENKSTOCK, 1EEh) generiert:",non-FS,"Those grope-moves using the signal OP_COLS in operation guidance stagnation aster (BEDIENUNG_LENKSTOCK, 1EEh) is generated:",TBD
unchanged,CON,40_6189,"Taste gedrückt, wenn OP_COLS = -1-- ----b",non-FS,"Key pressed, if OP_COLS = -1-- ---b",TBD
unchanged,CON,40_6191,"Taste nicht gedrückt, wenn OP_COLS = -0-- ----b",non-FS,"Key not pressed, if OP_COLS = -0-- ---b",TBD
unchanged,CON,40_6157,"Definition der Tastendrücke, anhand der Druckdauer (t) :",non-FS,"Definition grope-moves, using the printing duration (t):",TBD
unchanged,CON,40_6181,"kurzer BC-Tastendruck = 50ms ? t ? 2s		",non-FS,short BC-keystroke = 50ms ? t ? 2s,TBD
unchanged,CON,40_6182,"langer BC-Tastendruck = 2s < t ? 4s		",non-FS,long BC-keystroke = 2s < t ? 4s,TBD
unchanged,CON,40_19070,"Resume BC-Tastendruck = 4s < t ? 5s		",non-FS,Resume BC-keystroke = 4s < t ? 5s,TBD
unchanged,CON,40_6161,"CBS Tastendruck           =  5s < t ? 10s		",non-FS,Of CBS keystroke = 5s < t ? 10s,TBD
unchanged,CON,40_6171,"TeFu Tastendruck         = 10s < t ? 15s		",non-FS,TeFu keystroke = 10s < t ? 15s,TBD
unchanged,CON,40_6183,"Ende Tastendruck         = >15s		",non-FS,End to keystroke = >15s,TBD
unchanged,CON,40_19071,Beginn der Zeitmessung mit dem Empfang der ersten Botschaft BEDIENUNG_LENKSTOCK = BC-Taste gedrückt (siehe 51_6189).,non-FS,Beginning of the timing with the reception of the first message BEDIENUNG_LENKSTOCK = BC-key pressed (see 51_6189).,TBD
unchanged,CON,40_6192,"Der Zeitpunkt (Drücken /Loslassen), wann die Reaktion auf die Tastendrücke erfolgt, hängt von der Funktion ab, die bedient wird. 
Die Regel lautet: 
bei nur einer Reaktionsmöglichkeit -> sofort reagieren, d.h. beim Drücken der Taste (steigende Flanke)
bei mehreren Reaktionsmöglichkeiten muss die Druckdauer abgewartet werden, d.h die Reaktion erfolgt beim Erreichen der jeweiligen Druckdauer (weitere Details siehe jeweilige Funktion).",non-FS,"The point in time (printing /Loslassen), when the response on grope-moves effected, depends on the function, which is operated. 
The rule reads: 
with only one response possibility - > react immediately, i.e. when pressing the key (rising edge)
with several response possibilities the printing duration must be awaited, i.e. the response takes place with achieving the respective printing duration (further details see respective function).",TBD
unchanged,NRQ,40_19072,"Mit folgenden Requirements werden die Aktionen definiert, die mit dem Tastendruck abgeleitet werden.",non-FS,"With the following requirements the internal messages are defined, which are derivation with the keystroke.",TBD
modified,CHK,40_19074,"Stand 08.07.2016:
 ",non-FS,<<< TRANSLATION MUST BE UPDATED >>>Status 08.07.2016:,TBD
unchanged,CON,40_20393,"Stand 06.04.2016: 
Zweiter Entwurf: Funktion muss noch im Detail definiert werden. Insbesondere Verdrängungslogik mit Detail-Fahrzeugsymbol.
 ",non-FS,"<<< TRANSLATION MUST BE UPDATED >>>Status 06.04.2016: 
Second design: Function must be defined still in the detail. In particular displacement logic with detail vehicle symbol.",TBD
unchanged,CON,40_19076,Ein Kurzer BC-Tastendruck bewirkt entsprechend 51_19074 ein Trigger für die Quittierung einer CC-Meldung an das [FuBi CCM].,non-FS,A short BC-keystroke causes according to 51_19074 a trigger for the acknowledgment of a CC-signal at [FuBi CCM].,TBD
unchanged,CON,40_23215,Ein Kurzer BC-Tastendruck bewirkt entsprechend 51_20393 ein Trigger für die Quittierung einer CC-Meldung an das [FuBi CCM].,non-FS,A short BC-keystroke causes according to 51_20393 a trigger for the acknowledgment of a CC-signal at [FuBi CCM].,TBD
unchanged,CON,40_19077,Die grün markierten Übergänge initiert durch Kurzen BC-Tastendruck bewirken eine Signalisierung an die Head Unit. ,non-FS,Green labelled transitions initiert by short BC-keystroke cause a signaling to the Head unit.,TBD
unchanged,CON,40_19078,"Diese Signalisierung tiggert die Steuerung der PADs in der HU, die ihrerseits abhängig ihrer Zustandssteuerung die PADs im Kombi (Anzeigeverbund) steuert.",non-FS,"This signaling tiggert the controlling of the PADs in the HU, which control for their part dependently their state controller the PADs in the combination (display network).",TBD
unchanged,CON,40_19249,Die Kommunikation zur Signalisierung des BC-Tastendrucks zur HU ist in 51_19749 definiert.,non-FS,Communication for signaling the BC-keystroke to the HU is defined in 51_19749.,TBD
modified,CHK,40_19521,"Stand 2006.1209.20162018:
 ",non-FS,<<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>>Status 20.12.2016:,TBD
unchanged,CON,40_19250,"Wie die Detektion der ""Resetbaren Fahrdaten in der Anzeige"" und der ""Fahrdaten in der Anzeige"" erfolgt ist in 51_20166 ff beschrieben. ",non-FS,As the detection of the “RESET-bar driving data taken place in the display” and the “driving data in the display” is descriptive in 51_20166 FF.,TBD
unchanged,CON,40_21999,"Die ""Individual Fahrdaten"" werden über das BC-FuBi unterstüzt und unter 51_7455 ff definiert. ",non-FS,“Individually the driving data” are unterstüzt over the BC-FuBi and defined under 51_7455 FF.,TBD
unchanged,NRQ,40_29,14.4.2 Basisanzeige,non-FS,Base display,TBD
unchanged,CON,40_4330,Zu der Basisanzeige gehören folgende Anzeigeinhalte:,non-FS,To the base display the following display contents belong:,TBD
unchanged,CON,40_8564,Außentemperatur,non-FS,Outside temperature,TBD
unchanged,CON,40_8565,Uhrzeit,non-FS,Time-of-day,TBD
unchanged,CON,40_721,"Die Basisanzeige entspricht der Grunddarstellung. 
Sie wird angezeigt, solange keine Ereignisse eintreten, die Anzeiginhalte erfordern, welche die Basisanzeige überdecken.
(Details siehe C51_20 Prioritätensteuerung.)",non-FS,"The base display corresponds to the basic representation. 
It is displayed, as long as no events occur, which require displaying contents, which the base display cover.
(To details see C51_20 priority share control.)",TBD
unchanged,NRQ,40_2697,"14.4.3 Status control Parken, Wohnen, Fahren and subnet operation (PWF)",non-FS,"<<< TRANSLATION MUST BE UPDATED >>>State controller parks, living, driving and subnet operation (PWF)",TBD
unchanged,NRQ,40_9680,Target marker cross-reference,non-FS,<<< TRANSLATION MUST BE UPDATED >>>Cross reference target marker,TBD
unchanged,CON,40_11673,"Zustand Fahrzeug (CON_VEH, 3Ch)",non-FS,"Was entitled vehicle (CON_VEH, 3Ch)",TBD
modified,CHK,40_11674,"CRC_Zustand_Fahrzeug  
	CRC_CON_VEH		For init ans substitute value see ID 55_58240_1_582",non-FS,"<<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>>CRC_Zustand_Fahrzeug  
CRC_CON_VEH to INIT and replacement value see ID 55_582",TBD
modified,CHK,40_11675,"Alive_Zustand_Fahrzeug  
	ALIV_CON_VEH	For init ans substitute value see ID 55_58340_1_583",non-FS,"<<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>>Alive_Zustand_Fahrzeug  
ALIV_CON_VEH to INIT and replacement value see ID 55_583",TBD
modified,CHK,40_11676,"Status_Zustand_Fahrzeug  
	ST_CON_VEH		For init ans substitute value see ID 55_58440_1_584",non-FS,"<<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>>Status_Zustand_Fahrzeug  
ST_CON_VEH to INIT and replacement value see ID 55_584",TBD
unchanged,CHK,40_13326,"In exceptional cases, the display also depends on Steuerung_Basis_Teilnetze. This is then explicitly defined in the respective function.",non-FS,<<< TRANSLATION MUST BE UPDATED >>>In exceptional cases depends for the display also on base network. This is then in the respective function explicitly defined.,TBD
modified,CHK,40_13324,"Steuerung_Basis_Teilnetze 
	CTR_BS_PRTNT	For init ansand substitute value see ID 55_58540_1_585
(Next object differs.)",non-FS,"<<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>>Steuerung_Basis_Teilnetze 
INIT and replacement value CTR_BS_PRTNT see ID 55_585",TBD
modified,CHK,40_11679,"DieDetailed Überwachung-Parameterdescription fürof diesemessage Botschaftmonitoring sindand imthe Kapitelassociated ""Überwachungen""error definiertmemory, sieheas well as for the validity check of the signals used in this function for their function-specific value ranges are defined in the BUS and Error Manager configuration specifications document “40_1_BUS_ERM_2021”.
See chapter ""Monitoring functions"" ID 55_127740_1_1277.
(Parent object differs.)
(Previous object differs.)
(Next object differs.)",non-FS,"<<< TRANSLATION MUST BE UPDATED >>>The inspection parameters for this message are defined in the section “inspections”, see ID 55_1277.",TBD
modified,CHK,40_13327,"NurOnly fürfor ERM-Modul zurmodule Überwachungssteuerungfor monitoring control:
(Previous object differs.)
(Next object differs.)",non-FS,<<< TRANSLATION MUST BE UPDATED >>>Only for ERM module for inspection controller,TBD
modified,CHK,40_3968,"DieThe Botschaftmessage wirdis aufmonitored Ausfallfor überwachttime-out undand eina entsprechendercorresponding Timeouttime-out DTC wirdis eingetragenstored.
(Previous object differs.)",non-FS,<<< TRANSLATION MUST BE UPDATED >>>The message is monitored on failure and a suitable time-out DTC is entered.,TBD
modified,CHK,40_3969,DieThe Checksummechecksum derof Botschaftthe wirdmessage überwachtis undmonitored einand entsprechendera corresponding CRC- DTC wirdis eingetragenstored.,non-FS,<<< TRANSLATION MUST BE UPDATED >>>The CHECK total of the message is monitored and a suitable CRC-DTC is entered.,TBD
modified,CHK,40_3970,DieThe Botschaftalive wirdcounter aufof Aktualitätthe überwachtmessage undis einmonitored entsprechenderand Alive-a corresponding alive DTC wirdis eingetragenentered. ,non-FS,<<< TRANSLATION MUST BE UPDATED >>>The message is monitored on topicality and a suitable Alive DTC is entered.,TBD
modified,CHK,40_11678,DieThe insignals dieserused Funktionin verwendetenthis Signalefunction werdenare aufchecked ihrefor funktionsspezifischentheir Wertebereichefunction-specific geprüftvalue undranges einand entsprechendera corresponding APPL- DTC wirdis eingetragenentered. ,non-FS,<<< TRANSLATION MUST BE UPDATED >>>The signals used in this function are checked for their function specific scopes and a suitable APPL DTC is entered.,TBD
deleted,CHK,40_25020,Only for ERM module for monitoring control:,non-FS,<<< TRANSLATION MUST BE UPDATED >>>,TBD
modified,CHK,40_3996,"DieThe Zustandssteuerungstate bestehtmanagement zumconsists Einenof austwo derparts:
Vehicle Steuerungstate desmanagement Zustandsfor desthe Fahrzeugsvehicle und(basis zumsubnet)
Functional Anderenstate ausmanagement der(functional Steuerungsubnet)

The desfunctional Teilnetzbetriebs.
Diesubnets funktionalendescribe Teilnetzefunction beschreibengroups Funktionsgruppenthat dieexist orthogonalorthogonally zumto Fahrzeugzustandthe vehicle state (Basisteilnetz)basis existierensubnet). SieThey könnencan vonbe Clientsrequested angefordertfrom werdenclients, wie ze.Bg. derEntertainment Entertainmentmodemode.",non-FS,"<<< TRANSLATION MUST BE UPDATED >>>The state controller consists on the one hand of the controlling of the state of the vehicle and on the other hand of the controlling of the subnet operation.
The functional subnets describe function groups the orthogonal to the vehicle state (base network) exist. They can be request by Clients, like e.g. the entertainment mode.",TBD
modified,CHK,40_2698,"ParkenPARKEN, WohnenWOHNEN, FahrenFAHREN istis diethe neuenew Zustandssteuerungstate fürmanagement dasfor komplettethe Fahrzeugcomplete vehicle. SieIt löstreplaces diethe bisherigeprevious Klemmensteuerungterminal control (ze.Bg. Kl.terminal 30, Kl.terminal 15) ab. DieThe Zuständestates derof neuenthe Zustandssteuerungnew sindvehicle instate denmanagement folgendenare Kapitelndescribed beschriebenin the following chapters.",non-FS,"<<< TRANSLATION MUST BE UPDATED >>>Parks, living, driving is the new state controller for the complete vehicle. It solves the past clamping price increase (e.g. Kl.30, Kl. 15) off. The states of the new state controller are descriptive in the following sections.",TBD
modified,CHK,40_2707,"DetailsThe zurdetails Zustandssteuerungof sindvehicle imstate control are described in the requirements specification dokument [LH  10000762] ""Zustandssteuerungsclient PWF"" beschrieben(State management client).",non-FS,<<< TRANSLATION MUST BE UPDATED >>>Details for state controller are descriptive in [LH 10000762] “state controller client the PWF”.,TBD
modified,CHK,40_9661,FolgendeThe following PWF-Zustände werdenstates fürare diedefined Verwendungfor use in denthe Kombi-Lastenhefteninstrument definiertcluster requirements specifications document:,non-FS,<<< TRANSLATION MUST BE UPDATED >>>The following PWF states are defined for the use in the combination work statements:,TBD
modified,CHK,40_9662,"P_NIO, 	wennif ST_CON_VEH = 0001b",non-FS,"<<< TRANSLATION MUST BE UPDATED >>>P_NIO, if ST_CON_VEH = 0001b",TBD
modified,CHK,40_9663,"P_IO, 	wennif ST_CON_VEH = 0010b",non-FS,"<<< TRANSLATION MUST BE UPDATED >>>P_IO, if ST_CON_VEH = 0010b",TBD
modified,CHK,40_9664,"STAND, 	wennif ST_CON_VEH = 0011b",non-FS,"<<< TRANSLATION MUST BE UPDATED >>>STATUS, if ST_CON_VEH = 0011b",TBD
modified,CHK,40_9665,"WOHNEN, wennif ST_CON_VEH = 0101b  oderof ST_CON_VEH = 1100b",non-FS,"<<< TRANSLATION MUST BE UPDATED >>>LIVE, if ST_CON_VEH = 0101b or ST_CON_VEH = 1100b",TBD
unchanged,CON,40_17537,"Zu beachten: 
Die Verbindung von WOHNEN und FB_B gilt nicht für den Waschstraßen-Modus. Siehe 51_18806",non-FS,"To observe: 
The connection of LIVING and FB_B is not valid for the wash road mode. See 51_18806",TBD
modified,CHK,40_9666,"PRUEFEN, wennif ST_CON_VEH = 0111b",non-FS,"<<< TRANSLATION MUST BE UPDATED >>>CHECK, if ST_CON_VEH = 0111b",TBD
modified,CHK,40_9667,"FB_H, 	wennif ST_CON_VEH = 1000b",non-FS,"<<< TRANSLATION MUST BE UPDATED >>>FB_H, if ST_CON_VEH = 1000b",TBD
modified,CHK,40_9668,"FAHREN, 	wennif ST_CON_VEH = 1010b",non-FS,"<<< TRANSLATION MUST BE UPDATED >>>DRIVE, if ST_CON_VEH = 1010b",TBD
modified,CHK,40_9669,"DieThe Reihenfolgesequence bzw.and Prioritätpriority derof Zuständethe iststates wieis folgtdefined definiertas follows (absteigendin descending order):
FAHREN
FB_H
PRUEFEN
WOHNEN (inkl. FB_B)
STAND
P_IO
P_NIO",non-FS,"<<< TRANSLATION MUST BE UPDATED >>>The sequence or priority of the states is defined as follows (descending):
DRIVE
FB_H
CHECK
LIVE (inclusive FB_B)
STATUS
P_IO
P_NIO",TBD
unchanged,CON,40_17536,"Das bedeutet:
Wenn ein Zustand aktiv ist, sind alle zu ihm niederprioren Zustände ebenfalls als aktiv zu betrachten. ",non-FS,"That means:
If a state is active, all are to it niederprioren states as active to likewise regard.",TBD
unchanged,CON,40_9678,"FAHREN aktiv = 	FAHREN / FB_H / PRUEFEN / FB_B / WOHNEN / STAND / P_IO / P_NIO aktiv",non-FS,DRIVE actively = DRIVING/FB_H/CHECKING/FB_B/LIVING/STATUS/P_IO/P_NIO actively,TBD
unchanged,CON,40_9675,"FB_H aktiv =	FB_H / PRUEFEN / FB_B / WOHNEN / STAND / P_IO / P_NIO aktiv",non-FS,FB_H actively = FB_H/CHECKING/FB_B/LIVING/STATUS/P_IO/P_NIO actively,TBD
unchanged,CON,40_9673,"PRUEFEN aktiv = 	PRUEFEN / FB_B / WOHNEN / STAND / P_IO / P_NIO aktiv",non-FS,CHECK actively = CHECKING/FB_B/LIVING/STATUS/P_IO/P_NIO actively,TBD
unchanged,CON,40_17538,"FB_B aktiv = 	FB_B / WOHNEN / STAND / P_IO / P_NIO aktiv",non-FS,FB_B actively = FB_B/LIVING/STATUS/P_IO/P_NIO actively,TBD
unchanged,CON,40_9674,"WOHNEN aktiv = 	WOHNEN / STAND / P_IO / P_NIO aktiv",non-FS,LIVE actively = LIVING/STATUS/P_IO/P_NIO actively,TBD
unchanged,CON,40_9676,"STAND aktiv =	STAND / P_IO / P_NIO aktiv",non-FS,STATUS actively = STATUS/P_IO/P_NIO actively,TBD
unchanged,CON,40_9677,"P_IO aktiv = 	P_IO / P_NIO aktiv",non-FS,P_IO actively = P_IO/P_NIO actively,TBD
unchanged,CON,40_17539,"P_NIO aktiv =	P_NIO aktiv",non-FS,P_NIO actively = P_NIO actively,TBD
unchanged,CON,40_9670,"Erstreckt sich eine Anzeige / Berechnung über mehrere PWF-Zustände, so kann das mit einer Sammeldefinition mit der oben (51_9669) beschriebenen Reihenfolge / Priorität definiert werden.
Hier einige Beispiele: 
„ab STAND“ = STAND oder WOHNEN oder PRUEFEN oder FB_H oder FAHREN oder FB_B aktiv
„unterhalb WOHNEN“ = P_NIO oder P_IO oder STAND aktiv
„oberhalb STAND“ = WOHNEN oder PRUEFEN oder FB_H oder FAHREN oder FB_B aktiv
„solange STAND aktiv“ = STAND oder WOHNEN oder PRUEFEN oder FB_H oder FAHREN oder FB_B aktiv",non-FS,"If a display/a calculation extends over several PWF states, then can be defined with a collecting definition with that above (51_9669) the descriptive sequence/priority.
Here some examples: 
„starting from STATUS “= STATUS or LIVING or CHECKING or FB_H or DRIVING or FB_B actively
„below LIVING “= P_NIO or P_IO or STATUS actively
„above STATUS “= LIVING or CHECKING or FB_H or DRIVING or FB_B actively
„so long STATUS actively “= STATUS or LIVING or CHECKING or FB_H or DRIVING or FB_B actively",TBD
